Colleges_and_Universities
NAME,CITY,STATE,ZIP,COUNTY,ALIAS
Empire Beauty School-Pineville,Charlotte,NC,28226,Mecklenburg,NOT AVAILABLE
Dorsey Business Schools-Saginaw,Saginaw,MI,48603,Saginaw,Dorsey Schools
The Hair Design School-N Memphis,Memphis,TN,38128,Shelby,NOT AVAILABLE
Milan Institute of Cosmetology-La Quinta,La Quinta,CA,92253,Riverside,NOT AVAILABLE
Milan Institute-Nampa,Nampa,ID,83651,Canyon,NOT AVAILABLE
Broadview University-Salt Lake City,Salt Lake City,UT,84115,Salt Lake,NOT AVAILABLE
Milan Institute of Cosmetology-El Paso,El Paso,TX,79925,El Paso,NOT AVAILABLE
Bryant & Stratton College-Hampton,Hampton,VA,23666,Hampton,NOT AVAILABLE
Finger Lakes School of Massage,Mt. Kisco,NY,10549,Westchester,NOT AVAILABLE
Paul Mitchell the School-Phoenix,Phoenix,AZ,85017,Maricopa,NOT AVAILABLE
Park Avenue School of Cosmetology,Park Rapids,MN,56470,Hubbard,NOT AVAILABLE
All Beauty College,Fort Mohave,AZ,86426,Mohave,NOT AVAILABLE
Salter School of Nursing & Allied Health,Manchester,NH,3101,Hillsborough,NOT AVAILABLE
Northern California Institute of Cosmetology Inc,San Leandro,CA,94577,Alameda,NCIC
Salter School-New Bedford,New Bedford,MA,2745,Bristol,NOT AVAILABLE
Golden State College of Court Reporting,Dublin,CA,94568,Alameda,NOT AVAILABLE
Harris School of Business-Upper Darby Campus,Upper Darby,PA,19082,Delaware,NOT AVAILABLE
Preferred College of Nursing-Los Angeles,Los Angeles,CA,90010,Los Angeles,PCNLA
Trinity Vocational Center,Gardena,CA,90248,Los Angeles,NOT AVAILABLE
Stratford School of Aviation Maintenance Technicians,Stratford,CT,6615,Fairfield,NOT AVAILABLE
SICE Paul Mitchell Partner School,Modesto,CA,95350,Stanislaus,Safavi Institute of Cosmetology and Esthetics A Paul Mitchell Partner School
Brown Mackie College-San Antonio,San Antonio,TX,78229,Bexar,NOT AVAILABLE
Cosmo Beauty Academy,Sacremanto,CA,95821,Yolo,CBA
Hollywood Institute of Beauty Careers,Miami Beach,FL,33141,Miami-Dade,Beauty Career's Institute
Dewey University,Manati,PR,674,ManatÃ­,NOT AVAILABLE
Paul Mitchell the School-Fresno,Fresno,CA,93710,Fresno,NOT AVAILABLE
Cortiva Institute-New Jersey,Wall,NJ,7719,Monmouth,NOT AVAILABLE
Sanford-Brown College-Skokie,Skokie,IL,60077,Cook,SBC Skokie
Unitek College,Fremont,CA,94538,Alameda,NOT AVAILABLE
